"study.name","group.name","X","setting","prof","scope","type","error","random"
"Shin.Ellis","ME",NA,1,2,1,1,1,1
"Shin.Ellis","DCF",NA,1,2,1,1,1,1
"","",NA,NA,NA,NA,NA,NA,NA
"","",NA,NA,NA,NA,NA,NA,NA
"Trus.Hsu","Exper",NA,2,2,1,1,2,0
"","",NA,NA,NA,NA,NA,NA,NA
"Bit.KnoA","Meta",NA,1,3,1,1,1,0
"Bit.KnoA","Ind",NA,1,3,1,1,1,0
"Bit.KnoA","Mfo",NA,1,3,1,2,1,0
"","",NA,NA,NA,NA,NA,NA,NA
"SheenA","Dir",NA,1,2,2,2,1,0
"SheenA","MF",NA,1,2,2,1,1,0
"","",NA,NA,NA,NA,NA,NA,NA
"","",NA,NA,NA,NA,NA,NA,NA
"Bit.KnoB","gr1",NA,1,2,2,2,1,0
"Bit.KnoB","gr2",NA,1,2,2,1,1,0
"Bit.KnoB","gr3",NA,1,2,2,3,1,0
"","",NA,NA,NA,NA,NA,NA,NA
"Elis.Sh.Mu.Tk","foc",NA,1,1,3,1,1,NA
"Elis.Sh.Mu.Tk","Unfo",NA,1,1,1,2,1,NA
"","",NA,NA,NA,NA,NA,NA,NA
"","",NA,NA,NA,NA,NA,NA,NA
"ChandlerA","Exper",NA,1,2,1,4,0,NA
"","",NA,NA,NA,NA,NA,NA,NA
"karim.Nasj","Dir",NA,2,2,1,1,1,NA
"karim.Nasj","Ind",NA,2,2,2,2,1,NA
"karim.Nasj","Ind.meta",NA,2,2,3,3,1,NA
"","",NA,NA,NA,NA,NA,NA,NA
"","",NA,NA,NA,NA,NA,NA,NA
"Mubarak","grA",NA,2,NA,2,4,0,1
"Mubarak","grB",NA,2,NA,2,2,0,1
"","",NA,NA,NA,NA,NA,NA,NA
"Sun","focus",NA,2,2,1,2,2,1
"Sun","unfo",NA,2,2,2,2,0,1
